id,lemma
1382,aviary
1383,aviation
1384,aviator
1385,aviator glasses
1386,avidity
1387,avocado
1388,avocation
1389,avoidance
1390,avowal
1391,awakening
1392,award
1393,awe
1394,awfulness
1395,awkwardness
1396,awl
1397,awning
1398,ax
1399,ax to grind
1400,escape the ax
1401,get the ax
1402,give someone the ax
1403,give (someone) the ax
1404,take the an ax to
1405,take the/an ax to
1406,axiom
1407,axis
1408,axle
1409,aye
1410,azalea
1411,azt
1412,AZT
1413,azure
1414,b
1415,baa
1416,babbler
1417,babble
1418,babe
1419,babe in the woods
1420,babel
1421,baboon
1422,baby
1423,throw out the baby with the bathwater
1424,babyhood
1425,baby blue
1426,baby boom
1427,baby buggy
1428,baby carriage
1429,baby fat
1430,babysitter
1431,baby talk
1432,baby tooth
1433,baccy
1434,bachelor
1435,bachelorhood
1436,bachelorette
1437,bachelor's degree
1438,bacillus
1439,back
1440,at in the back of your mind
1441,at/in the back of your mind
1442,back is to against the wall
1443,back is to/against the wall
1444,back to back
1445,back-to-back
1446,back to front
1447,behind someone's back
1448,break the back of
1449,get your back up
1450,in back
1451,in back of
1452,on the back of
1453,on off your back
1454,on your back
1455,on/off your back
1456,out back
1457,put someone's back up
1458,put your back into
1459,see the back of
1460,turn your back
1461,watch someone's back
1462,watch your back
1463,backache
1464,back and forth
1465,back-and-forth
1466,backbench
1467,backbencher
1468,backbiting
1469,backboard
1470,backbone
1471,on the back burner
1472,backchat
1473,backcloth
1474,back door
1475,backdrop
1476,backer
1477,backfield
1478,backgammon
1479,background
1480,background music
1481,background noise
1482,backhand
1483,backhander
1484,backhoe
1485,backing
1486,backlash
1487,backlog
1488,back matter
1489,the back of beyond
1490,back order
1491,backpack
1492,backpacker
1493,back passage
1494,backrest
1495,backseat
1496,take a backseat
1497,backseat driver
1498,backside
1499,backslapping
1500,backslapper
1501,backslash
1502,backslider
1503,backspace
1504,backspin
1505,backstabbing
1506,backstop
1507,backstraight
1508,backstreet
1509,backstretch
1510,backstroke
1511,backswing
1512,back talk
1513,backup
1514,backwardness
1515,backwater
1516,backwoods
1517,backwoodsman
1518,backyard
1519,bacon
1520,bring home the bacon
1521,bacteriology
1522,bacteriologist
1523,bacterium
1524,badness
1525,bad
1526,bad blood
1527,bad boy
1528,baddie
1529,bad faith
1530,in bad faith
1531,badge
1532,badger
1533,badlands
1534,bad language
1535,badminton
1536,bad news
1537,bafflement
1538,baffle
1539,bag
